date-time;Work Order;Item no.;No.;Qty;Description;Customer code;Customer
(blank);WO071549;354729;A-LINE;0;WI GR 2.50Ax6 20x120/114;1000106;KENDA Deutschland GmbH
(blank);WO071550;363516;B-LINE;0;WB 7.00Ax8 H2 4/60/100 Ø14.5 C60 ET0;1000106;KENDA Deutschland GmbH
(blank);WO071553;671550;E-LINE;0;WB 7.00Ix12 H2 5/80/115 Ø14.5 C80 ET25;1000106;KENDA Deutschland GmbH
(blank);WO071559;714721;E-LINE;0;WB 5JAx12 H2 5/93/140 Ø15 ET25;1000106;KENDA Deutschland GmbH
(blank);WO071569;276861;F-LINE;0;WB 13.00x17 H2 6/161/205 Ø21.5 R16 ET-45;1000106;KENDA Deutschland GmbH
(blank);WO071570;100630;E-LINE;0;WB 5.50Ix8 H2 4/67/101.6 Ø12.5 C60 ET0;1000103;KENDA GB Rugeley Ltd
(blank);WO071579;613987;GS-MTM;0;WB AG16.00x22.5 H2 5/290/335 Ø21.5 R22.4 ET-20;1000103;KENDA GB Rugeley Ltd
(blank);WO071580;614014;F-LINE;0;WB W13x20 H2 5/290/335 Ø21.5 R22.4 ET10;1000103;KENDA GB Rugeley Ltd
(blank);WO071590;494708;G-LINE;0;WB 9.00x15.3 H2 5/94/140 Ø18.5 R14 ET-35;1000103;KENDA GB Rugeley Ltd
(blank);WO071591;614564;F-LINE;0;WB W13x20 H2 8/221/275 Ø21.5 R16 ET-15;1000103;KENDA GB Rugeley Ltd
(blank);WO071592;614564;F-LINE;0;WB W13x20 H2 8/221/275 Ø21.5 R16 ET-15;1000103;KENDA GB Rugeley Ltd
(blank);WO071593;614564;F-LINE;0;WB W13x20 H2 8/221/275 Ø21.5 R16 ET-15;1000103;KENDA GB Rugeley Ltd
(blank);WO071597;457321;F-LINE;0;WB W11x20 H2 6/135.3/170 Ø17 ET-46;1007232;Bohnenkamp Benelux BV
(blank);WO071599;112510;GS-LINE;0;DU Spacer Standard 42-200;;
(blank);WO071599;623368;ROLLING-LINE;0;DU Spacer Standard 42-200;;
(blank);WO071600;637709;GS-LINE;0;DU Spacer Stepped 36/28-200;;
(blank);WO071603;113432;GS-DUAL;0;RM W12x28;1007390;Bohnenkamp Kft.
(blank);WO071603;555652;ROLLING-LINE;0;RM W12x28;1007390;Bohnenkamp Kft.
(blank);WO071603;603858;D-LINE;0;RM W12x28;1007390;Bohnenkamp Kft.
(blank);WO071606;113449;ROLLING-LINE;0;DU AW Spacer Standard 18-160,0;1000404;KENDA Schweiz AG
(blank);WO071607;113203;GS-LINE;0;DU Wheel MD/HD W10x50/42K-300,0   185VSM;1000404;KENDA Schweiz AG
(blank);WO071607;690209;GS-STEP SPACER;0;DU Wheel MD/HD W10x50/42K-300,0   185VSM;1000404;KENDA Schweiz AG
(blank);WO071608;113098;GS-LINE;0;DU Spacer Stepped 32/24-200;;
(blank);WO071609;594521;D-LINE;0;DU Spacer Stepped 28/24-200;1000404;KENDA Schweiz AG
(blank);WO071610;111605;GS-LINE;0;DU Spacer Stepped 36/30-170;;
