MAIN BOM;No.;Description;Quantity per;Link;Draw
104102;633893;WD Formed T-mount 12mm  Ø580,0-Ø560,9mm;1.00;61S2400007_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\61S2400007_BM.pdf
104102;CP5001;POWDER JDM F9H YELLOW;0.43;;
104164;542836;WD Formed T-mount 12mm  Ø780,0-Ø764,1mm;1.00;542836_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\542836_BM.pdf
104164;545493;RM W10x32;1.00;;
104164;607818;Valve guard VG9;1.00;;
104171;488554;RM DWW16Lx30;1.00;;
104171;494722;DU Spacer Emc2 30-335,0;1.00;62R300004_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R300004_BM.pdf
104171;CP5001;POWDER JDM F9H YELLOW;0.77;;
104188;62R200024;"20"" GS RING";1.00;;
104195;60070100S02;RIM 7,00IX10 H2 (3,0MM);1.00;60070100S02-2;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\60070100S02-2.pdf
104195;61P1000020;"DISC,10"" PRES,5/115/80";1.00;DPC61P1000020;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\DPC61P1000020.pdf
104195;CP1088;POWDER GREY MET 9006 RESIST;0.09;;
104201;104188;DU Spacer Standard 20-180,0;1.00;62R200024_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R200024_BM.pdf
104201;497501;RM W8x20 H2;1.00;497501_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\497501_BM.pdf
104201;559070;DU Clamp ring 20-45,0;1.00;559070_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\559070_BM.pdf
104201;CP2012;POWDER BIANCO LUCIDO (CNH) RAL9378;0.27;;
104218;557083;DU Spacer Stepped 32/24-250,0;1.00;62R320007_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\62R320007_BM.pdf
104218;575100;RM W8x32;1.00;;
104218;CP5001;POWDER JDM F9H YELLOW;0.50;;
104232;607818;Valve guard VG9;1.00;;
104232;629940;RM W11x24;1.00;629940_BM;\\dk-file03\g_data$\Group Production\HR - Beli Manastir\Drawings\PDF NAV\629940_BM.pdf
